City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,hasaki,35.7333,140.8333,20.46,93,100,9.78,JP,1746854053
255,zuunmod,47.7069,106.9528,18.57,28,88,5.11,MN,1746854054
256,sandnessjoen,66.0217,12.6316,10.23,71,100,4.12,NO,1746854055
257,alta,69.9689,23.2717,4.59,56,72,4.63,NO,1746854056
258,kourou,5.1552,-52.6478,23.6,94,100,1.63,GF,1746854057
259,grand-lahou,5.1367,-5.0242,26.61,86,100,3.2,CI,1746854059
260,severo-yeniseyskiy,60.3725,93.0408,9.02,58,43,3.54,RU,1746854060
261,tulun,54.5611,100.5792,14.86,79,100,2.29,RU,1746854061
262,maputo,-25.9653,32.5892,19.57,89,20,2.06,MZ,1746854062
263,bengkulu,-3.8004,102.2655,29.67,68,52,3.12,ID,1746854063
264,kenai,60.5544,-151.2583,12.23,40,0,5.66,US,1746854064
265,raja,8.4596,25.678,25.68,44,55,1.36,SS,1746854065
266,el porvenir,13.7617,-87.3458,26.49,79,46,0.2,HN,1746854066
267,mar del plata,-38.0023,-57.5575,11.64,50,0,4.92,AR,1746853939
268,mili,6.0815,171.735,28.13,75,100,5.85,MH,1746854068
269,tralee,52.2704,-9.7026,7.71,95,89,1.34,IE,1746854070
270,enewetak,11.3474,162.3373,27.85,77,97,6.33,MH,1746854071
271,hadibu,12.65,54.0333,29.3,64,79,2.11,YE,1746854072
272,coron,11.9986,120.2043,31.84,62,20,4.61,PH,1746854073
273,swift current,50.2834,-107.8014,14.36,38,81,3.79,CA,1746854074
274,marquette,46.5333,-87.6335,11.88,64,43,2.68,US,1746854075
275,cabo san lucas,22.8909,-109.9124,22.13,57,100,5.81,MX,1746853405
276,klaeng,12.7797,101.6483,30.98,72,100,2.95,TH,1746854077
277,auki,-8.7676,160.7034,27.21,87,94,3.41,SB,1746854078
278,tazacorte,28.629,-17.9293,20.54,96,75,1.54,ES,1746854079
279,yuzhno-kurilsk,44.0306,145.8556,8.3,92,100,4.34,RU,1746854082
280,rasht,37.2808,49.5832,21.9,73,40,0.0,IR,1746854083
281,beykonak,36.3257,30.303,22.03,58,100,1.14,TR,1746854084
282,acarau,-2.8856,-40.12,24.62,92,93,3.55,BR,1746854085
283,florence,43.7667,11.25,13.63,95,0,1.54,IT,1746854086
284,tvoroyri,61.5556,-6.8111,7.59,93,100,4.08,FO,1746854087
